packet_id,entity,exposure_basis_usd,remaining_gap,source_form,named_agreement,accession,action,source_uri
adjudication:091f3b1164a4873c,NXP Semiconductors N.V.,3000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312526041255,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1413447/000119312526041255/d90435d8k.htm
adjudication:6980d267b2f33735,Eaton Corp plc,3000000000.0,determine collateral scope,8-K_body,Credit Agreement,000114036125036514,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1551182/000114036125036514/ef20056153_8k.htm
adjudication:02ce164d48531e9b,GE Vernova Inc.,3000000000.0,determine collateral scope,other,Credit Agreement,000199681024000069,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1996810/000199681024000069/gev10-q2q24xprospectus.htm
adjudication:c9daca8ee67aeb95,American Airlines Group Inc.,3000000000.0,determine collateral scope,8-K_body,credit agreement,000119312526098647,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/6201/000119312526098647/d35934d8k.htm
adjudication:e2dab9e1f592f615,BLUE OWL CAPITAL INC.,3000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525177104,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1823945/000119312525177104/d887624d8k.htm
adjudication:57e5d0b37500144f,Ares Management Corp,3000000000.0,determine collateral scope,other,Credit Agreement,000162828026038606,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1176948/000162828026038606/ares-20260521.htm
adjudication:feffeadc0c9a96bc,LOCKHEED MARTIN CORP,3000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525192837,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/936468/000119312525192837/d14459d8k.htm
adjudication:2df5e238853de06c,SYSCO CORP,3000000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525197606,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/96021/000119312525197606/d936312d8k.htm
adjudication:696cfb842ed7bab6,STRYKER CORP,3000000000.0,determine collateral scope,8-K_body,credit agreement,000119312525039302,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/310764/000119312525039302/d904508d8k.htm
adjudication:f0cfa1921aace000,LOCKHEED MARTIN CORP,3000000000.0,determine collateral scope,other,Credit Agreement,000093646824000101,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/936468/000093646824000101/lmt-20240823.htm
adjudication:047a820c935b2f99,Carnival Corp Ltd.,3000000000.0,determine collateral scope,EX-10_exhibit,Indenture,000081509725000084,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/815097/000081509725000084/exhibit103q32025.htm
adjudication:5e9a99ccb45f773e,Eaton Corp plc,3000000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000114036125036514,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1551182/000114036125036514/ef20056153_ex10-1.htm
adjudication:677583c42812b73a,LITHIA MOTORS INC,3000000000.0,determine collateral scope,EX-4_exhibit,Credit Agreement,000114036125034574,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1023128/000114036125034574/ef20055382_ex4-1.htm
adjudication:3d60ea62ecb0b7cb,BHP Group Ltd,2953000000.0,determine collateral scope,424B_prospectus,indenture,000119312525193425,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/811809/000119312525193425/d904309d424b2.htm
adjudication:7960e7edd3c1067e,ITT INC.,2875000000.0,determine collateral scope,other,credit agreement,000021622826000018,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/216228/000021622826000018/itt-20260218.htm
adjudication:a162b848bb952aa4,ITT INC.,2875000000.0,determine collateral scope,other,credit agreement,000021622826000031,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/216228/000021622826000031/exhibit9922025proformafina.htm
adjudication:f9a4378621d4225d,"QUANTA SERVICES, INC.",2800000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312524190572,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1050915/000119312524190572/d850925d8k.htm
adjudication:63b4a595ef8771a4,APi Group Corp,2800000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000119312526229096,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1796209/000119312526229096/d69397dex101.htm
adjudication:96dd348dae46e7c2,TELEFLEX INC,2702000000.0,determine collateral scope,other,credit agreement,000119312526249764,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/96943/000119312526249764/d126202dex992.htm
adjudication:ecb66415d8bc3884,ENTERPRISE PRODUCTS PARTNERS L.P.,2700000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525067053,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1061219/000119312525067053/d945779d8k.htm
adjudication:24d259e178716d65,Uniti Group Inc.,2650000000.0,determine recourse and guarantee scope,other,Credit Agreement,000162828025048540,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/2020795/000162828025048540/unit-ex9913q25xnu.htm
adjudication:823d5b407540ecd5,Baker Hughes Co,2600000000.0,determine collateral scope,424B_prospectus,Credit Agreement,000119312526096899,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1701605/000119312526096899/d120546d424b2.htm
adjudication:298a5404796605a0,Baker Hughes Co,2600000000.0,determine collateral scope,424B_prospectus,Credit Agreement,000119312526089947,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1701605/000119312526089947/d56050d424b2.htm
adjudication:b0dd2d1c2a09ba67,Athene Holding Ltd.,2600000000.0,determine collateral scope,other,Credit Agreement,000152746924000056,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1527469/000152746924000056/ahl-20240628.htm
adjudication:31aada7d134d3787,Baker Hughes Co,2600000000.0,determine collateral scope,424B_prospectus,Credit Agreement,000119312526096905,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1701605/000119312526096905/d56050d424b2.htm
adjudication:a0ee9b44482277c7,Athene Holding Ltd.,2600000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525154072,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1527469/000119312525154072/d948326d8k.htm
adjudication:61d1be56093e1dca,Baker Hughes Co,2600000000.0,determine collateral scope,424B_prospectus,Credit Agreement,000119312526089950,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1701605/000119312526089950/d120546d424b2.htm
adjudication:22a6eb5d7be2a3a6,"Amneal Pharmaceuticals, Inc.",2550000000.0,determine recourse and guarantee scope,other,Credit Agreement,000095010325009025,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1723128/000095010325009025/dp231799_ex9901.htm
adjudication:c541885a35004d44,MCKESSON CORP,2500000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000092765326000053,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/927653/000092765326000053/mck_ex101-mckessonxrevolvi.htm
adjudication:a9f2305440ff51ca,Ares Management Corp,2500000000.0,determine collateral scope,other,Credit Agreement,000162828025020055,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1176948/000162828025020055/ares-20250422.htm
adjudication:124c7d957735ba1b,Parker-Hannifin Corp,2500000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525314164,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/76334/000119312525314164/d25389d8k.htm
adjudication:bf6849c6e617f659,NISOURCE INC.,2500000000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000119312525316004,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1111711/000119312525316004/d938529dex101.htm
adjudication:e45011b4991b21ad,MOSAIC CO,2500000000.0,determine recourse and guarantee scope,424B_prospectus,Indenture,000119312525273360,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1285785/000119312525273360/d916326d424b5.htm
adjudication:c80913ed791bb0fd,"TYSON FOODS, INC.",2500000000.0,determine collateral scope,other,Credit Agreement,000010049325000049,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/100493/000010049325000049/tsn-20250415.htm
adjudication:76bcf9977987b42f,VICI PROPERTIES INC.,2500000000.0,determine collateral scope,8-K_body,Credit Agreement,000110465925008898,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1705696/000110465925008898/tm254973d1_8k.htm
adjudication:cb27c37bc96a6f3b,MOSAIC CO,2500000000.0,determine collateral scope,other,Credit Agreement,000162828025027098,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1285785/000162828025027098/ax2025amendedandrestatedcr.htm
adjudication:f3f02b626152bf5d,"Evergy, Inc.",2500000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312523159868,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1711269/000119312523159868/d455453d8k.htm
adjudication:ced352d51c179400,NXP Semiconductors N.V.,2500000000.0,determine collateral scope,424B_prospectus,Credit Agreement,000119312525178588,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1413447/000119312525178588/d94185d424b5.htm
adjudication:4d941c8a1e9672f3,BHP Group Ltd,2491000000.0,determine collateral scope,424B_prospectus,indenture,000119312525028242,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/811809/000119312525028242/d942897d424b2.htm
adjudication:a7ff671246f66788,Sunoco LP,2455500000.0,determine collateral scope,8-K_body,Credit Agreement,000119312525143803,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1552275/000119312525143803/d63531d8k.htm
adjudication:cc643240bdc8c0e6,Aramark,2384140862.9,determine recourse and guarantee scope,other,Credit Agreement,000158450925000224,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1584509/000158450925000224/cik0-20251211.htm
adjudication:b500b9add16356c7,Applied Digital Corp.,2350000000.0,determine collateral scope,other,Guaranty,000149315225024479,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1144879/000149315225024479/form8-k.htm
adjudication:3c5a134d077b2626,"CORPAY, INC.",2344875000.0,determine collateral scope,EX-10_exhibit,Credit Agreement,000117545425000025,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1175454/000117545425000025/ex101seventeenthamendmentt.htm
adjudication:bd3d73616d07cc94,ALGONQUIN POWER & UTILITIES CORP.,2280000000.0,determine collateral scope,other,indenture,000114036124037813,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1174169/000114036124037813/ef20034313_ex99-2.htm
adjudication:8a70581d7fbb143d,Broadcom Inc.,2250000000.0,determine collateral scope,8-K_body,Indenture,000119312525223202,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1730168/000119312525223202/d60592d8k.htm
adjudication:b929294b168f4ba9,IRON MOUNTAIN INC,2250000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000110465924115356,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1020569/000110465924115356/tm2427786d1_ex10-1.htm
adjudication:73be91bd0fa5dccc,BLUE OWL CAPITAL INC.,2250000000.0,determine collateral scope,8-K_body,Credit Agreement,000119312524182973,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1823945/000119312524182973/d841605d8k.htm
adjudication:c79cd61116e87afb,Phillips 66,2250000000.0,determine collateral scope,8-K_body,credit agreement,000119312526114070,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/1534701/000119312526114070/d20718d8k.htm
adjudication:d69c76a6f3e56c2c,Phillips 66,2250000000.0,determine collateral scope,EX-10_exhibit,CREDIT AGREEMENT,000119312526114070,RE_EXTRACT_DEPTH,https://www.sec.gov/Archives/edgar/data/1534701/000119312526114070/d20718dex101.htm
adjudication:35b61f7f40d62452,INTUIT INC.,2200000000.0,determine collateral scope,other,Credit Agreement,000089687826000004,FETCH_EXHIBIT_FROM_ACCESSION,https://www.sec.gov/Archives/edgar/data/896878/000089687826000004/intu-20260109.htm
